FORENAME;NAME;COUNTRY;BIRTH_DATE;HOBBIES;GUEST_ANIMAL_ALLERGY;HOST_HAS_ANIMAL;GUEST_FOOD;HOST_FOOD;GENDER;PAIR_GENDER;HISTORY
Dalthu;A;FRANCE;22/06/2009;;no;no;vegetarian;vegetarian,nonuts;female;female;same
Laris;B;FRANCE;17/03/2006;;no;no;;vegetarian;male;;
Bellatrix;C;FRANCE;25/01/2008;reading,science,culture;no;yes;;nonuts,vegetarian;female;;other
Seakgu;D;FRANCE;23/12/2009;science,culture,reading,sports;no;yes;;vegetarian,nonuts;male;;
Ulyglet;E;FRANCE;17/06/2007;sports,culture;no;no;;nonuts,vegetarian;female;male;
Estelle;U;ITALY;09/09/2008;sports,reading;no;yes;;nonuts,vegetarian;female;female;
Damek;W;ITALY;13/09/2008;science;no;no;;nonuts,vegetarian;female;male;
Lilly;Y;ITALY;23/10/2006;;no;yes;;nonuts,vegetarian;male;male;same
Mave;X;ITALY;09/09/2007;sports;no;no;;nonuts,vegetarian;male;male;same
Jensmebur;Z;ITALY;19/08/2008;culture;no;no;nonuts;nonuts,vegetarian;male;;same
